,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2022-02-19,Sat,Premier League,Matchweek 26,Away,D 1–1,Newcastle Utd,West Ham,Y,LB,90,0,0,0,0,0,0,0,0,79.0,2.0,1,2.0,0.0,0.0,0.2,5.0,0.0,45.0,69.0,65.2,6.0,24.0,3.0,1.0,1.0,/en/matches/4e263347/West-Ham-United-Newcastle-United-February-19-2022-Premier-League,0.5,0.3333333333333333,0.5
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2022-02-26,Sat,Premier League,Matchweek 27,Away,W 2–0,Newcastle Utd,Brentford,Y,LB,90,0,0,0,0,2,2,0,0,87.0,0.0,2,1.0,0.1,0.1,0.4,10.0,0.0,60.0,78.0,76.9,11.0,56.0,0.0,1.0,1.0,/en/matches/fd61d442/Brentford-Newcastle-United-February-26-2022-Premier-League,1.0,0.5,0.5
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2022-03-05,Sat,Premier League,Matchweek 28,Home,W 2–1,Newcastle Utd,Brighton,Y,LB,90,0,0,0,0,1,0,0,0,42.0,2.0,0,0.0,0.1,0.1,0.2,1.0,0.0,26.0,37.0,70.3,1.0,18.0,1.0,0.0,0.0,/en/matches/02337bda/Newcastle-United-Brighton-and-Hove-Albion-March-5-2022-Premier-League,1.0,0.8333333333333334,0.5
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2022-03-10,Thu,Premier League,Matchweek 21,Away,W 2–1,Newcastle Utd,Southampton,Y,LB,90,0,0,0,0,1,0,0,0,62.0,4.0,2,1.0,0.1,0.1,0.0,3.0,1.0,32.0,49.0,65.3,2.0,21.0,0.0,2.0,2.0,/en/matches/2d6fb488/Southampton-Newcastle-United-March-10-2022-Premier-League,1.0,0.8333333333333334,0.5
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2022-03-13,Sun,Premier League,Matchweek 29,Away,L 0–1,Newcastle Utd,Chelsea,Y,LB,90,0,0,0,0,0,0,0,0,44.0,2.0,0,1.0,0.0,0.0,0.1,7.0,0.0,27.0,35.0,77.1,2.0,11.0,0.0,2.0,2.0,/en/matches/0dcf103b/Chelsea-Newcastle-United-March-13-2022-Premier-League,0.0,1.0,0.5
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2022-03-17,Thu,Premier League,Matchweek 20,Away,L 0–1,Newcastle Utd,Everton,Y,LB,90,0,0,0,0,0,0,0,0,68.0,2.0,0,0.0,0.0,0.0,0.0,3.0,0.0,44.0,62.0,71.0,4.0,27.0,2.0,1.0,0.0,/en/matches/029e5f94/Everton-Newcastle-United-March-17-2022-Premier-League,0.0,0.6666666666666666,0.5
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,2022-04-03,Sun,Premier League,Matchweek 31,Away,L 1–5,Newcastle Utd,Tottenham,Y,"LB,WB",90,0,0,0,0,0,0,0,0,43.0,2.0,1,0.0,0.0,0.0,0.0,1.0,0.0,30.0,37.0,81.1,3.0,21.0,1.0,0.0,0.0,/en/matches/6f8a2207/Tottenham-Hotspur-Newcastle-United-April-3-2022-Premier-League,0.0,0.3333333333333333,0.5
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2022-04-08,Fri,Premier League,Matchweek 32,Home,W 1–0,Newcastle Utd,Wolves,Y,LB,90,0,0,0,0,1,0,0,0,69.0,3.0,2,1.0,0.0,0.0,0.0,0.0,0.0,42.0,58.0,72.4,3.0,32.0,1.0,1.0,0.0,/en/matches/739d8264/Newcastle-United-Wolverhampton-Wanderers-April-8-2022-Premier-League,1.0,0.0,0.5
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2022-04-17,Sun,Premier League,Matchweek 33,Home,W 2–1,Newcastle Utd,Leicester City,Y,LB,90,0,0,0,0,1,1,0,0,50.0,4.0,4,2.0,0.0,0.0,0.2,4.0,1.0,27.0,36.0,75.0,2.0,14.0,0.0,0.0,0.0,/en/matches/89803b3a/Newcastle-United-Leicester-City-April-17-2022-Premier-League,1.0,0.3333333333333333,0.5
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2022-04-20,Wed,Premier League,Matchweek 30,Home,W 1–0,Newcastle Utd,Crystal Palace,Y,LB,90,0,0,0,0,0,0,0,0,69.0,4.0,2,2.0,0.0,0.0,0.3,2.0,0.0,44.0,55.0,80.0,4.0,21.0,0.0,2.0,0.0,/en/matches/7a668764/Newcastle-United-Crystal-Palace-April-20-2022-Premier-League,1.0,0.6666666666666666,0.5
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2022-04-23,Sat,Premier League,Matchweek 34,Away,W 3–0,Newcastle Utd,Norwich City,Y,LB,90,0,0,0,0,0,0,0,0,54.0,2.0,3,0.0,0.0,0.0,0.0,1.0,0.0,33.0,44.0,75.0,4.0,23.0,0.0,3.0,1.0,/en/matches/f6a877bb/Norwich-City-Newcastle-United-April-23-2022-Premier-League,1.0,1.0,0.5
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2022-04-30,Sat,Premier League,Matchweek 35,Home,L 0–1,Newcastle Utd,Liverpool,Y,LB,90,0,0,0,0,0,0,0,0,62.0,6.0,1,2.0,0.0,0.0,0.0,1.0,0.0,34.0,47.0,72.3,4.0,11.0,0.0,0.0,0.0,/en/matches/d736eab8/Newcastle-United-Liverpool-April-30-2022-Premier-League,0.0,1.0,0.5
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2022-05-08,Sun,Premier League,Matchweek 36,Away,L 0–5,Newcastle Utd,Manchester City,Y,LB,90,0,0,0,0,0,0,1,0,33.0,2.0,1,1.0,0.0,0.0,0.1,2.0,0.0,19.0,27.0,70.4,1.0,11.0,1.0,0.0,0.0,/en/matches/d1bcaf2b/Manchester-City-Newcastle-United-May-8-2022-Premier-League,0.0,0.6666666666666666,0.5
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,2022-05-16,Mon,Premier League,Matchweek 37,Home,W 2–0,Newcastle Utd,Arsenal,Y,LB,90,0,0,0,0,0,0,0,0,64.0,2.0,2,0.0,0.0,0.0,0.1,2.0,0.0,37.0,59.0,62.7,1.0,24.0,1.0,1.0,1.0,/en/matches/a3b3a0d5/Newcastle-United-Arsenal-May-16-2022-Premier-League,1.0,0.3333333333333333,0.5
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,2022-05-22,Sun,Premier League,Matchweek 38,Away,W 2–1,Newcastle Utd,Burnley,Y,LB,90,0,0,0,0,0,0,0,0,55.0,3.0,2,1.0,0.0,0.0,0.2,1.0,0.0,32.0,46.0,69.6,1.0,24.0,0.0,1.0,1.0,/en/matches/ad4ac82b/Burnley-Newcastle-United-May-22-2022-Premier-League,1.0,0.3333333333333333,0.5
