,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
25,25,2021-12-26,Sun,Premier League,Matchweek 19,Home,L 2–3,West Ham,Southampton,Y,"FW,RW",90,0,1,0,0,0,0,1,0,34.0,0.0,0,1.0,0.0,0.0,0.3,2.0,1.0,12.0,24.0,50.0,0.0,15.0,3.0,1.0,0.0,/en/matches/36a056cf/West-Ham-United-Southampton-December-26-2021-Premier-League,0.0,0.16666666666666666
26,26,2021-12-28,Tue,Premier League,Matchweek 20,Away,W 4–1,West Ham,Watford,Y,RW,90,0,2,0,0,3,1,0,0,43.0,1.0,0,1.0,0.6,0.6,1.6,7.0,4.0,22.0,35.0,62.9,2.0,24.0,4.0,5.0,4.0,/en/matches/b56fd899/Watford-West-Ham-United-December-28-2021-Premier-League,1.0,0.0
27,27,2022-01-01,Sat,Premier League,Matchweek 21,Away,W 3–2,West Ham,Crystal Palace,Y,RW,90,0,0,0,0,1,0,0,0,46.0,4.0,1,0.0,0.0,0.0,0.0,1.0,0.0,25.0,32.0,78.1,0.0,28.0,0.0,2.0,1.0,/en/matches/b0b5cba6/Crystal-Palace-West-Ham-United-January-1-2022-Premier-League,1.0,0.3333333333333333
28,28,2022-01-09,Sun,FA Cup,Third round proper,Home,W 2–0,West Ham,Leeds United,Y,AM,90,1,0,0,0,4,3,0,0,,,0,,,,,,,,,,,,,,,/en/matches/b5e5de2f/West-Ham-United-Leeds-United-January-9-2022-FA-Cup,1.0,0.6666666666666666
29,29,2022-01-12,Wed,Premier League,Matchweek 18,Home,W 2–0,West Ham,Norwich City,Y,RW,90,2,0,0,0,5,3,0,0,47.0,1.0,0,0.0,1.9,1.9,0.0,0.0,0.0,22.0,34.0,64.7,3.0,23.0,5.0,2.0,1.0,/en/matches/7d53d1ea/West-Ham-United-Norwich-City-January-12-2022-Premier-League,1.0,1.0
30,30,2022-01-16,Sun,Premier League,Matchweek 22,Home,L 2–3,West Ham,Leeds United,Y,"RW,AM,LW",90,1,0,0,0,5,1,0,0,44.0,1.0,2,4.0,1.2,1.2,0.0,1.0,0.0,13.0,25.0,52.0,1.0,27.0,3.0,4.0,2.0,/en/matches/62c16969/West-Ham-United-Leeds-United-January-16-2022-Premier-League,0.0,1.0
31,31,2022-01-22,Sat,Premier League,Matchweek 23,Away,L 0–1,West Ham,Manchester Utd,Y,RW,90,0,0,0,0,1,0,0,0,38.0,1.0,2,1.0,0.0,0.0,0.0,2.0,0.0,17.0,25.0,68.0,2.0,21.0,1.0,8.0,4.0,/en/matches/7c23f694/Manchester-United-West-Ham-United-January-22-2022-Premier-League,0.0,0.6666666666666666
32,32,2022-02-05,Sat,FA Cup,Fourth round proper,Away,W 2–1,West Ham,Kidderminster,Y,FW,120,1,0,0,0,4,2,0,0,,,0,,,,,,,,,,,,,,,/en/matches/b80898bc/Kidderminster-West-Ham-United-February-5-2022-FA-Cup,1.0,0.3333333333333333
33,33,2022-02-08,Tue,Premier League,Matchweek 24,Home,W 1–0,West Ham,Watford,Y,RW,90,1,0,0,0,2,2,0,0,57.0,1.0,2,1.0,0.1,0.1,0.4,4.0,0.0,35.0,50.0,70.0,7.0,34.0,4.0,2.0,2.0,/en/matches/3778ac3f/West-Ham-United-Watford-February-8-2022-Premier-League,1.0,0.3333333333333333
34,34,2022-02-13,Sun,Premier League,Matchweek 25,Away,D 2–2,West Ham,Leicester City,Y,RW,90,1,1,0,0,3,1,0,0,38.0,1.0,0,1.0,0.5,0.5,0.3,2.0,1.0,16.0,23.0,69.6,0.0,22.0,2.0,2.0,1.0,/en/matches/c2c20295/Leicester-City-West-Ham-United-February-13-2022-Premier-League,0.5,0.6666666666666666
35,35,2022-02-19,Sat,Premier League,Matchweek 26,Home,D 1–1,West Ham,Newcastle Utd,Y,RW,90,0,0,0,0,2,2,1,0,25.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,16.0,43.8,1.0,11.0,3.0,1.0,0.0,/en/matches/4e263347/West-Ham-United-Newcastle-United-February-19-2022-Premier-League,0.5,0.8333333333333334
36,36,2022-02-27,Sun,Premier League,Matchweek 27,Home,W 1–0,West Ham,Wolves,Y,"AM,FW",90,0,0,0,0,1,1,0,0,28.0,0.0,0,3.0,0.4,0.4,0.0,1.0,0.0,12.0,18.0,66.7,0.0,18.0,2.0,2.0,0.0,/en/matches/b1dcaf8d/West-Ham-United-Wolverhampton-Wanderers-February-27-2022-Premier-League,1.0,0.6666666666666666
37,37,2022-03-02,Wed,FA Cup,Fifth round proper,Away,L 1–3,West Ham,Southampton,Y,FW,90,0,0,0,0,3,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/c29212bb/Southampton-West-Ham-United-March-2-2022-FA-Cup,0.0,0.6666666666666666
