,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2022-03-10,Thu,Premier League,Matchweek 21,Home,L 1–2,Southampton,Newcastle Utd,Y,FW,72,0,0,0,0,1.0,1.0,0,0,19.0,0.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,7.0,10.0,70.0,1.0,15.0,0.0,2.0,1.0,/en/matches/2d6fb488/Southampton-Newcastle-United-March-10-2022-Premier-League,0.0,0.6666666666666666,0.5
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,2022-03-13,Sun,Premier League,Matchweek 29,Home,L 1–2,Southampton,Watford,N,FW,44,0,0,0,0,0.0,0.0,0,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,66.7,0.0,6.0,0.0,0.0,0.0,/en/matches/2c627dd8/Southampton-Watford-March-13-2022-Premier-League,0.0,0.3333333333333333,0.5
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,2022-03-20,Sun,FA Cup,Quarter-finals,Home,L 1–4,Southampton,Manchester City,N,,28,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/776bdea8/Southampton-Manchester-City-March-20-2022-FA-Cup,0.0,0.0,0.5
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,2022-03-26,Sat,Friendlies (M),Friendlies (M),Neutral,L 1–2,al Albania,es Spain,Y,FW,83,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/2e427819/Spain-Albania-March-26-2022-Friendlies-M,0.0,0.0,0.5
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,2022-03-29,Tue,Friendlies (M),Friendlies (M),Neutral,D 0–0,al Albania,ge Georgia,Y,FW,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/79fa024e/Albania-Georgia-March-29-2022-Friendlies-M,0.5,0.0,0.5
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2022-04-02,Sat,Premier League,Matchweek 31,Away,D 1–1,Southampton,Leeds United,Y,FW,89,0,0,0,0,1.0,0.0,0,0,36.0,0.0,0.0,3.0,0.2,0.2,0.1,2.0,0.0,10.0,20.0,50.0,0.0,9.0,1.0,2.0,0.0,/en/matches/abc88be4/Leeds-United-Southampton-April-2-2022-Premier-League,0.5,0.1666666666666666,0.5
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,2022-04-16,Sat,Premier League,Matchweek 33,Home,W 1–0,Southampton,Arsenal,Y,FW,73,0,0,0,0,1.0,0.0,1,0,19.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,4.0,8.0,50.0,0.0,8.0,1.0,4.0,1.0,/en/matches/5ea2687c/Southampton-Arsenal-April-16-2022-Premier-League,1.0,0.3333333333333333,0.5
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,2022-04-21,Thu,Premier League,Matchweek 30,Away,L 0–2,Southampton,Burnley,Y,FW,90,0,0,0,0,1.0,0.0,0,0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,19.0,63.2,2.0,15.0,3.0,4.0,1.0,/en/matches/73ef622b/Burnley-Southampton-April-21-2022-Premier-League,0.0,0.6666666666666666,0.5
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2022-04-24,Sun,Premier League,Matchweek 34,Away,D 2–2,Southampton,Brighton,N,FW,12,0,0,0,0,0.0,0.0,0,0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,1.0,4.0,1.0,1.0,1.0,/en/matches/32a11932/Brighton-and-Hove-Albion-Southampton-April-24-2022-Premier-League,0.5,0.5,0.5
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,2022-04-30,Sat,Premier League,Matchweek 35,Home,L 1–2,Southampton,Crystal Palace,N,FW,26,0,0,0,0,0.0,0.0,0,0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,0.0,5.0,1.0,0.0,0.0,/en/matches/d260be24/Southampton-Crystal-Palace-April-30-2022-Premier-League,0.0,0.5,0.5
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,2022-05-07,Sat,Premier League,Matchweek 36,Away,L 0–3,Southampton,Brentford,Y,FW,90,0,0,0,0,5.0,1.0,0,0,34.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,14.0,17.0,82.4,2.0,18.0,3.0,2.0,0.0,/en/matches/74a74729/Brentford-Southampton-May-7-2022-Premier-League,0.0,0.1666666666666666,0.5
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,2022-05-17,Tue,Premier League,Matchweek 37,Home,L 1–2,Southampton,Liverpool,Y,FW,81,0,0,0,0,0.0,0.0,0,0,24.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,10.0,60.0,3.0,15.0,1.0,3.0,1.0,/en/matches/733409b2/Southampton-Liverpool-May-17-2022-Premier-League,0.0,0.1666666666666666,0.5
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2022-06-10,Fri,UEFA Nations League,League B,Home,L 1–2,al Albania,il Israel,Y,FW,90,1,0,1,1,3.0,2.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/96fa7953/Albania-Israel-June-10-2022-UEFA-Nations-League,0.0,0.0,0.5
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,2022-06-13,Mon,Friendlies (M),Friendlies (M),Neutral,D 0–0,al Albania,ee Estonia,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/e73e3b9e/Albania-Estonia-June-13-2022-Friendlies-M,0.5,0.0,0.5
